대여소_ID,시군구,시군구코드,,
1056,노원구,11110,,
1057,노원구,11110,,
1058,노원구,11110,,
1059,노원구,11110,,
1060,노원구,11110,,
1061,노원구,11110,,
1062,노원구,11110,,
1063,노원구,11110,,
1064,노원구,11110,,
1065,노원구,11110,,
1066,노원구,11110,,
1067,노원구,11110,,
1068,노원구,11110,,
1069,노원구,11110,,
1070,노원구,11110,,
1071,노원구,11110,,
1072,노원구,11110,,
1073,노원구,11110,,
1074,노원구,11110,,
1075,노원구,11110,,
1076,노원구,11110,,
1077,노원구,11110,,
1078,노원구,11110,,
1079,노원구,11110,,
1080,노원구,11110,,
1081,노원구,11110,,
1082,노원구,11110,,
1083,노원구,11110,,
1084,노원구,11110,,
1085,노원구,11110,,
1086,노원구,11110,,
1087,노원구,11110,,
1088,노원구,11110,,
1089,노원구,11110,,
1090,노원구,11110,,
1091,노원구,11110,,
1092,노원구,11110,,
1093,노원구,11110,,
1094,노원구,11110,,
1095,노원구,11110,,
1096,노원구,11110,,
1097,노원구,11120,,
1098,노원구,11120,,
1099,노원구,11120,,
1100,노원구,11120,,
1101,노원구,11120,,
1102,노원구,11120,,
1103,노원구,11120,,
1104,노원구,11120,,
1105,노원구,11120,,
1106,노원구,11120,,
1107,노원구,11120,,
1108,노원구,11120,,
1109,노원구,11120,,
1110,노원구,11120,,
1111,노원구,11120,,
1112,노원구,11120,,
1113,노원구,11120,,
1114,노원구,11120,,
1115,노원구,11120,,
1116,노원구,11120,,
1117,노원구,11120,,
1118,노원구,11120,,
1119,노원구,11120,,
1120,노원구,11120,,
1121,노원구,11120,,
1122,노원구,11120,,
1123,노원구,11120,,
1124,노원구,11120,,
1125,노원구,11120,,
1126,노원구,11120,,
1127,노원구,11120,,
1128,노원구,11120,,
1129,노원구,11120,,
1130,노원구,11120,,
1131,노원구,11120,,
1132,노원구,11120,,
1133,노원구,11120,,
1134,노원구,11120,,
1135,노원구,11120,,
1136,노원구,11120,,
1137,노원구,11120,,
1138,노원구,11120,,
1139,노원구,11120,,
1140,노원구,11120,,
1141,노원구,11120,,
1142,노원구,11120,,
1143,노원구,11120,,
1144,노원구,11120,,
1145,노원구,11120,,
1146,노원구,11120,,
1147,노원구,11120,,
1148,노원구,11120,,
1149,노원구,11120,,
1150,노원구,11120,,
1151,노원구,11120,,
1152,노원구,11120,,
1153,노원구,11120,,
1154,노원구,11120,,
1155,노원구,11120,,
1156,노원구,11120,,
1157,노원구,11120,,
1158,노원구,11120,,
1159,노원구,11120,,
1160,노원구,11120,,
1161,노원구,11120,,
1162,노원구,11120,,
1163,노원구,11120,,
1164,노원구,11120,,
1165,노원구,11120,,
1166,노원구,11120,,
1167,노원구,11120,,
1168,노원구,11120,,
1169,노원구,11120,,
1170,노원구,11120,,
1171,노원구,11120,,
1172,노원구,11120,,
1173,노원구,11120,,
1174,노원구,11120,,
1175,노원구,11120,,
1176,노원구,11120,,
1177,노원구,11120,,
1178,노원구,11120,,
1179,노원구,11120,,
1180,노원구,11120,,
1181,노원구,11120,,
1182,노원구,11120,,
1183,노원구,11120,,
1184,노원구,11120,,
1185,노원구,11120,,
1186,노원구,11120,,
1187,노원구,11120,,
